omega,iterations,walltime,status
1.00,3214909,819.06s,CV
1.01,3092346,788.32s,CV
1.02,2973289,758.41s,CV
1.03,2857600,727.92s,CV
1.04,2745148,699.79s,CV
1.05,2635806,672.19s,CV
1.06,2529456,644.95s,CV
1.07,2425983,618.38s,CV
1.08,2325278,593.21s,CV
1.09,2227236,567.63s,CV
1.10,2131758,543.38s,CV
1.11,2038748,519.86s,CV
1.12,1948115,497.40s,CV
1.13,1859770,474.29s,CV
1.14,1773631,452.03s,CV
1.15,1689614,430.56s,CV
1.16,1607644,409.91s,CV
1.17,1527645,389.57s,CV
1.18,1449545,369.50s,CV
1.19,1373275,349.96s,CV
1.20,1298767,330.90s,CV
1.21,1225957,312.51s,CV
1.22,1154782,294.69s,CV
1.23,1085180,276.67s,CV
1.24,1017091,259.18s,CV
1.25,950459,242.43s,CV
1.26,885224,225.50s,CV
1.27,821332,209.35s,CV
1.28,758726,193.62s,CV
1.29,697351,177.96s,CV
1.30,637150,162.47s,CV
1.31,578066,147.26s,CV
1.32,520040,132.44s,CV
1.33,463009,118.21s,CV
1.34,406908,103.83s,CV
1.35,351660,89.60s,CV
1.36,297180,75.92s,CV
1.37,243361,62.14s,CV
1.38,190062,48.50s,CV
1.39,137076,35.00s,CV
1.40,84028,21.43s,CV
1.41,29860,7.62s,CV
1.42,22317,5.72s,DV
1.43,8074,2.07s,DV
1.44,4978,1.28s,DV
1.45,3618,0.93s,DV
1.46,2850,0.74s,DV
1.47,2359,0.61s,DV
1.48,2019,0.52s,DV
1.49,1768,0.45s,DV
1.50,1577,0.41s,DV
1.51,1425,0.37s,DV
1.52,1302,0.34s,DV
1.53,1200,0.31s,DV
1.54,1114,0.30s,DV
1.55,1041,0.27s,DV
1.56,978,0.26s,DV
1.57,922,0.24s,DV
1.58,874,0.23s,DV
1.59,831,0.22s,DV
1.60,792,0.21s,DV
1.61,758,0.20s,DV
1.62,726,0.19s,DV
1.63,698,0.19s,DV
1.64,672,0.18s,DV
1.65,648,0.17s,DV
1.66,626,0.17s,DV
1.67,606,0.16s,DV
1.68,588,0.15s,DV
1.69,570,0.15s,DV
1.70,554,0.15s,DV
1.71,539,0.15s,DV
1.72,525,0.15s,DV
1.73,512,0.14s,DV
1.74,499,0.14s,DV
1.75,488,0.13s,DV
1.76,477,0.13s,DV
1.77,466,0.13s,DV
1.78,456,0.12s,DV
1.79,447,0.12s,DV
1.80,438,0.12s,DV
1.81,429,0.12s,DV
1.82,421,0.12s,DV
1.83,414,0.11s,DV
1.84,406,0.11s,DV
1.85,399,0.11s,DV
1.86,393,0.10s,DV
1.87,386,0.11s,DV
1.88,380,0.10s,DV
1.89,374,0.10s,DV
1.90,369,0.10s,DV
1.91,363,0.10s,DV
1.92,358,0.10s,DV
1.93,353,0.10s,DV
1.94,348,0.10s,DV
1.95,343,0.09s,DV
1.96,339,0.09s,DV
1.97,334,0.10s,DV
1.98,330,0.09s,DV
1.99,326,0.09s,DV
