tasks,iterations,walltime,status
1,1298767,4926.88s,CV
2,1298767,2478.25s,CV
3,1298767,1657.13s,CV
4,1298767,1250.72s,CV
5,1298767,1005.20s,CV
6,1298767,844.18s,CV
7,1298767,726.31s,CV
8,1298767,637.72s,CV
9,1298767,569.38s,CV
10,1298767,514.15s,CV
11,1298767,469.69s,CV
12,1298767,433.00s,CV
13,1298767,400.56s,CV
14,1298767,373.54s,CV
15,1298767,350.02s,CV
16,1298767,329.12s,CV
17,1298767,311.25s,CV
18,1298767,295.50s,CV
19,1298767,279.22s,CV
20,1298767,266.36s,CV
21,1298767,255.87s,CV
22,1298767,245.92s,CV
23,1298767,235.46s,CV
24,1298767,226.59s,CV
25,1298767,218.99s,CV
26,1298767,212.36s,CV
27,1298767,204.31s,CV
28,1298767,198.02s,CV
29,1298767,192.62s,CV
30,1298767,187.59s,CV
31,1298767,181.94s,CV
32,1298767,176.41s,CV
